team,b_max,r_mean,g_mean,b_mean,a_mean,r_med,g_med,b_med,a_med
washington-huskies,163,102.95191948557988,101.07879834045002,128.92801550528452,252.36210290421246,102.95191948557988,101.07879834045002,128.92801550528452,252.36210290421246
auburn-tigers,92,81.90944790599218,67.9568033749467,79.19717856849003,253.0166727752803,81.90944790599218,67.9568033749467,79.19717856849003,253.0166727752803
new-mexico-state-aggies,255,84.2744419278586,84.57132542751738,85.01878208234841,252.2482518519984,84.2744419278586,84.57132542751738,85.01878208234841,252.2482518519984
kansas-jayhawks,255,137.23893357250319,147.27403512324963,131.28778497859045,252.1486879412105,137.23893357250319,147.27403512324963,131.28778497859045,252.1486879412105
northeastern-huskies,255,104.39824422392434,106.19792727867285,106.19744934535713,248.25334238891196,104.39824422392434,106.19792727867285,106.19744934535713,248.25334238891196
iowa-state-cyclones,117,193.64142587562856,98.68804607480611,58.843046783817094,248.43948863946247,193.64142587562856,98.68804607480611,58.843046783817094,248.43948863946247
ohio-state-buckeyes,255,179.85788331242875,141.89319198410107,152.62898690171417,252.31067621976712,179.85788331242875,141.89319198410107,152.62898690171417,252.31067621976712
houston-cougars,255,211.78430757089305,76.00186537047334,88.91460549208114,253.2156744928524,211.78430757089305,76.00186537047334,88.91460549208114,253.2156744928524
georgia-state-panthers,255,69.3929363923401,105.78672323287617,185.85269650729722,253.08394998973597,69.3929363923401,105.78672323287617,185.85269650729722,253.08394998973597
wofford-terriers,255,76.64435611792806,73.60178314219556,69.65773880066367,251.58092511896731,76.64435611792806,73.60178314219556,69.65773880066367,251.58092511896731
seton-hall-pirates,255,118.28872420072845,165.28326714892756,200.629331495346,253.15114705584784,118.28872420072845,165.28326714892756,200.629331495346,253.15114705584784
kentucky-wildcats,255,49.67200529796708,90.73381200930629,177.7053790050627,253.03258075478604,49.67200529796708,90.73381200930629,177.7053790050627,253.03258075478604
abilene-christian-wildcats,255,117.33449280051772,89.83764762983336,154.87488154944876,252.81477800633277,117.33449280051772,89.83764762983336,154.87488154944876,252.81477800633277
